"","Date","Heathrow","Haringey"
"1","01/01/2000",23.2,22.3
"2","02/01/2000",11.3,11.2
"3","03/01/2000",8.4,7.2
"4","04/01/2000",11,14.1
"5","05/01/2000",19.6,20.1
"6","06/01/2000",18.6,20.1
"7","07/01/2000",20.9,23.4
"8","08/01/2000",16.3,19.2
"9","09/01/2000",29.8,23.4
"10","10/01/2000",34.8,35.6
"11","11/01/2000",NA,17.4
"12","12/01/2000",NA,23.6
"13","13/01/2000",23.8,NA
"14","14/01/2000",25.5,16.7
"15","15/01/2000",27,19.9
"16","16/01/2000",22.9,14.6
"17","17/01/2000",30.7,20.9
"18","18/01/2000",22.4,15
"19","19/01/2000",27,17.3
"20","20/01/2000",38.6,26.6
"21","21/01/2000",28.1,17.1
"22","22/01/2000",12.4,11.4
"23","23/01/2000",17.3,12.8
"24","24/01/2000",37.2,25.8
"25","25/01/2000",46.7,38.1
"26","26/01/2000",34.7,35.2
"27","27/01/2000",38,29.9
"28","28/01/2000",16.4,19.5
"29","29/01/2000",11.1,12
"30","30/01/2000",13.1,15.2
"31","31/01/2000",19.1,18.9
"32","01/02/2000",23.3,23.1
"33","02/02/2000",20.1,15.6
"34","03/02/2000",17.4,20.5
"35","04/02/2000",19.4,19.7
"36","05/02/2000",30.4,30.4
"37","06/02/2000",23.6,22.3
"38","07/02/2000",24.1,NA
"39","08/02/2000",23.5,20.5
"40","09/02/2000",26,24.3
"41","10/02/2000",20.1,17.4
"42","11/02/2000",19.6,21.5
"43","12/02/2000",12.5,13.5
"44","13/02/2000",32.5,23.4
"45","14/02/2000",29.2,29.3
"46","15/02/2000",NA,14.6
"47","16/02/2000",13.1,12.4
"48","17/02/2000",19.1,14.2
"49","18/02/2000",20.4,17.5
"50","19/02/2000",18.5,13.5
"51","20/02/2000",26.6,22
"52","21/02/2000",32.3,25.3
"53","22/02/2000",37.4,40
"54","23/02/2000",20.8,22.6
"55","24/02/2000",13.6,13
"56","25/02/2000",18.1,16.1
"57","26/02/2000",21.9,22.6
"58","27/02/2000",20.1,21
"59","28/02/2000",8.8,12.7
"60","29/02/2000",8.9,10
"61","01/03/2000",20,12.6
"62","02/03/2000",24.4,25.7
"63","03/03/2000",34.5,28.7
"64","04/03/2000",20.7,15
"65","05/03/2000",16,16.4
"66","06/03/2000",21,19.7
"67","07/03/2000",39.9,NA
"68","08/03/2000",17.8,NA
"69","09/03/2000",15.8,15.5
"70","10/03/2000",27.9,28.4
"71","11/03/2000",29.9,26.8
"72","12/03/2000",40.7,34.7
"73","13/03/2000",43.3,36.7
"74","14/03/2000",21.7,23.4
"75","15/03/2000",25.8,19.3
"76","16/03/2000",28,21.4
"77","17/03/2000",32,25.3
"78","18/03/2000",26.1,26.5
"79","19/03/2000",33.3,27.9
"80","20/03/2000",47.8,38.2
"81","21/03/2000",38.5,36.4
"82","22/03/2000",44.7,56.6
"83","23/03/2000",46.9,53.8
"84","24/03/2000",17.8,NA
"85","25/03/2000",6.9,NA
"86","26/03/2000",13.6,NA
"87","27/03/2000",12.6,NA
"88","28/03/2000",16.5,NA
"89","29/03/2000",28,NA
"90","30/03/2000",31.6,NA
"91","31/03/2000",24.8,NA
"92","01/04/2000",13.4,21.7
"93","02/04/2000",13.3,18.6
"94","03/04/2000",10.7,17.6
"95","04/04/2000",6.9,13
"96","05/04/2000",13.5,20.2
"97","06/04/2000",21.2,22.7
"98","07/04/2000",25.2,25.7
"99","08/04/2000",39.1,29.3
"100","09/04/2000",24.3,19.2
"101","10/04/2000",23.4,21.9
"102","11/04/2000",14.1,17
"103","12/04/2000",10.5,11.9
"104","13/04/2000",17,14.9
"105","14/04/2000",25.3,18.4
"106","15/04/2000",12.4,11.1
"107","16/04/2000",17.5,19.7
"108","17/04/2000",14.5,14.6
"109","18/04/2000",15.4,17.3
"110","19/04/2000",13.2,14.4
"111","20/04/2000",14.7,17.5
"112","21/04/2000",22.7,22.8
"113","22/04/2000",16.1,18
"114","23/04/2000",17.5,18.6
"115","24/04/2000",14.2,15.8
"116","25/04/2000",12.8,16.3
"117","26/04/2000",11.5,16.9
"118","27/04/2000",12.9,20.1
"119","28/04/2000",32.8,21.5
"120","29/04/2000",11.5,15.9
"121","30/04/2000",22.9,21.1
"122","01/05/2000",19.2,15.9
"123","02/05/2000",18.7,NA
"124","03/05/2000",11.5,NA
"125","04/05/2000",23.3,NA
"126","05/05/2000",32.1,NA
"127","06/05/2000",49.2,NA
"128","07/05/2000",42.4,NA
"129","08/05/2000",42.5,NA
"130","09/05/2000",50,NA
"131","10/05/2000",NA,NA
"132","11/05/2000",NA,27.2
"133","12/05/2000",NA,35.6
"134","13/05/2000",NA,40.5
"135","14/05/2000",NA,45.6
"136","15/05/2000",NA,34.3
"137","16/05/2000",18.4,24.6
"138","17/05/2000",16.3,15.8
"139","18/05/2000",12.5,10.9
"140","19/05/2000",15.6,10.4
"141","20/05/2000",17.8,16.1
"142","21/05/2000",13.9,12.1
"143","22/05/2000",19.6,17.1
"144","23/05/2000",12.6,12.5
"145","24/05/2000",17.2,19.2
"146","25/05/2000",15.8,15.4
"147","26/05/2000",18.8,18.5
"148","27/05/2000",10.8,11
"149","28/05/2000",10.1,7.9
"150","29/05/2000",11.9,10.4
"151","30/05/2000",20.4,17.9
"152","31/05/2000",24.5,23.3
"153","01/06/2000",17.7,15.8
"154","02/06/2000",15.1,16.2
"155","03/06/2000",17.4,21.4
"156","04/06/2000",11.3,12.3
"157","05/06/2000",32.6,25
"158","06/06/2000",23.7,22.7
"159","07/06/2000",20.6,19.4
"160","08/06/2000",24.6,27
"161","09/06/2000",29.1,30
"162","10/06/2000",14.2,14.2
"163","11/06/2000",14.9,15.3
"164","12/06/2000",19.8,20.2
"165","13/06/2000",9.3,9.8
"166","14/06/2000",13.8,15.9
"167","15/06/2000",18.4,15.6
"168","16/06/2000",31.1,35.2
"169","17/06/2000",28.8,30
"170","18/06/2000",21,24.5
"171","19/06/2000",NA,41.4
"172","20/06/2000",35.8,39.9
"173","21/06/2000",19,21.3
"174","22/06/2000",20.8,20.9
"175","23/06/2000",17.8,15.8
"176","24/06/2000",13.9,11.4
"177","25/06/2000",22.7,16.1
"178","26/06/2000",25.6,25.8
"179","27/06/2000",32.1,29.7
