Date,Year,Month,Day,Heathrow
2000-01-01,2000,01,01,23.2
2000-01-02,2000,01,02,11.3
2000-01-03,2000,01,03,8.4
2000-01-04,2000,01,04,11
2000-01-05,2000,01,05,19.6
2000-01-06,2000,01,06,18.6
2000-01-07,2000,01,07,20.9
2000-01-08,2000,01,08,16.3
2000-01-09,2000,01,09,29.8
2000-01-10,2000,01,10,34.8
2000-01-11,2000,01,11,NA
2000-01-12,2000,01,12,NA
2000-01-13,2000,01,13,23.8
2000-01-14,2000,01,14,25.5
2000-01-15,2000,01,15,27
2000-01-16,2000,01,16,22.9
2000-01-17,2000,01,17,30.7
2000-01-18,2000,01,18,22.4
2000-01-19,2000,01,19,27
2000-01-20,2000,01,20,38.6
2000-01-21,2000,01,21,28.1
2000-01-22,2000,01,22,12.4
2000-01-23,2000,01,23,17.3
2000-01-24,2000,01,24,37.2
2000-01-25,2000,01,25,46.7
2000-01-26,2000,01,26,34.7
2000-01-27,2000,01,27,38
2000-01-28,2000,01,28,16.4
2000-01-29,2000,01,29,11.1
2000-01-30,2000,01,30,13.1
2000-01-31,2000,01,31,19.1
2000-02-01,2000,02,01,23.3
2000-02-02,2000,02,02,20.1
2000-02-03,2000,02,03,17.4
2000-02-04,2000,02,04,19.4
2000-02-05,2000,02,05,30.4
2000-02-06,2000,02,06,23.6
2000-02-07,2000,02,07,24.1
2000-02-08,2000,02,08,23.5
2000-02-09,2000,02,09,26
2000-02-10,2000,02,10,20.1
2000-02-11,2000,02,11,19.6
2000-02-12,2000,02,12,12.5
2000-02-13,2000,02,13,32.5
2000-02-14,2000,02,14,29.2
2000-02-15,2000,02,15,NA
2000-02-16,2000,02,16,13.1
2000-02-17,2000,02,17,19.1
2000-02-18,2000,02,18,20.4
2000-02-19,2000,02,19,18.5
2000-02-20,2000,02,20,26.6
2000-02-21,2000,02,21,32.3
2000-02-22,2000,02,22,37.4
2000-02-23,2000,02,23,20.8
2000-02-24,2000,02,24,13.6
2000-02-25,2000,02,25,18.1
2000-02-26,2000,02,26,21.9
2000-02-27,2000,02,27,20.1
2000-02-28,2000,02,28,8.8
2000-02-29,2000,02,29,8.9
2000-03-01,2000,03,01,20
2000-03-02,2000,03,02,24.4
2000-03-03,2000,03,03,34.5
2000-03-04,2000,03,04,20.7
2000-03-05,2000,03,05,16
2000-03-06,2000,03,06,21
2000-03-07,2000,03,07,39.9
2000-03-08,2000,03,08,17.8
2000-03-09,2000,03,09,15.8
2000-03-10,2000,03,10,27.9
2000-03-11,2000,03,11,29.9
2000-03-12,2000,03,12,40.7
2000-03-13,2000,03,13,43.3
2000-03-14,2000,03,14,21.7
